ZI,JIANMA
远,yrh
连,ljg
间,jjf
间,jjj
阿,aaf
阿,eef
阿,eeh
阿,aah
阿,aaj
阿,aab
陈,vwg
並,bkj
並,bfj
並,bgj
事,uij
事,zij
些,xpf
些,suj
些,suf
使,uih
來,ldg
來,ldj
兒,erg
兒,nig
兩,lmh
兩,lmj
其,qig
其,jif
其,jij
到,dhj
制,iij
单,dff
单,vfg
单,ufj
参,cff
参,cwf
参,uwf
取,qvh
取,qvf
受,uoj
受,dhj
变,bjj
呢,neb
呢,nig
呢,nih
呢,nif
呵,hef
呵,haf
呵,aaf
呵,aab
呵,kef
呵,huf
呵,aag
呵,aaj
命,mkj
和,heg
和,hej
和,hug
和,huj
和,hub
国,gug
图,tug
备,bzj
奇,qig
奇,jif
奇,aih
奇,yih
妳,nih
妳,ndh
始,uih
学,xtg
定,dkj
实,uig
建,jjj
念,njj
性,xkj
怪,gkj
或,huj
或,yvj
所,suh
放,fgj
放,fgh
放,fgf
於,yvg
於,yvf
於,wuf
明,mkg
明,mrj
朋,prg
服,fug
服,fuj
服,bij
服,bog
東,dnf
板,bfh
林,llg
果,guh
果,luh
果,grj
法,fah
版,bfh
物,wuj
玩,wrg
现,xjj
画,hcj
的,deb
的,dif
的,dig
的,dij
直,iig
知,iif
知,iij
空,knf
空,knj
空,knh
组,zuh
经,jkf
经,jkj
者,ieh
耶,ypg
耶,ypf
耶,xpg
若,ruj
若,reg
若,rej
若,reh
英,ykf
英,ymf
表,bqh
视,uij
试,uij
话,hcj
该,gdf
转,irh
转,irj
转,ikh
金,jlf
金,jlj
長,igh
長,vgg
長,igj
門,mwg
非,fzf
非,fzh
便,bjj
便,pjg
便,bjf
保,bhh
信,xlj
信,uwf
修,xof
則,zeg
前,qjg
前,jjh
南,nfg
南,naf
卻,qtj
卻,jqh
卻,xij
品,plh
哈,haf
哈,hah
哈,haj
哈,hef
哈,heg
哈,taj
哈,uaj
哪,nah
哪,nab
哪,neg
哪,nug
哪,ndh
哪,naj
哪,npj
哪,nzh
型,xkg
城,vrg
孩,hdg
室,uij
将,jmf
将,jmj
将,qmf
差,vaj
差,vaf
差,vdf
差,cif
差,vdj
差,cuf
差,jpf
带,ddj
帮,bgf
度,duj
度,dug
度,idg
很,hwh
後,hoj
怎,zwh
思,sif
思,sdf
总,znh
战,ifj
持,vig
指,iih
指,iif
指,iig
政,irj
政,irf
故,guj
星,xkf
是,uij
是,tig
标,bqf
活,hug
活,guf
点,djh
為,wvj
為,wvg
独,dug
界,jpj
相,xmf
相,xmj
看,kfj
看,kff
研,yjg
研,yjj
研,xkg
神,uwg
神,uwf
科,kef
科,kej
类,lzj
級,jig
结,jpg
结,jpf
给,gzh
给,jih
统,tnh
美,mzh
虽,svf
要,yqj
要,yqf
要,yqh
觉,jtg
觉,jqj
計,jij
语,yvh
语,yvj
说,uuf
说,uvj
说,ytj
费,fzj
軍,jyf
迷,mig
迷,mij
选,xrh
重,inj
重,vng
重,tng
除,vug
除,iuj
除,uuf
面,mjj
音,ylf
風,frf
風,frj
風,frh
飛,fzf
個,gej
個,geh
們,mwb
們,mwj
們,mwg
候,hoj
務,wuj
務,wuh
務,wug
務,mhg
務,mhj
原,yrg
員,yrg
員,yyg
員,yyj
啊,aab
啊,aaf
啊,aag
啊,aah
啊,aaj
啊,eej
家,jaf
家,jab
家,jaj
家,jpb
家,guf
容,rng
容,ynh
師,uif
拿,nag
换,hrj
料,lqj
料,lqg
時,uig
書,uuf
校,xqj
校,jqj
校,jqh
校,qqf
样,ymj
样,ymg
格,geg
格,luj
格,hej
格,gef
案,anj
档,dgj
氣,qij
氣,xij
流,log
海,hdh
爱,aij
特,tej
班,bff
留,log
留,loj
留,loh
真,iwf
破,poj
站,ifj
站,iff
笑,xqj
能,nrg
能,tdg
能,ndg
能,ndj
能,xng
脑,nhh
般,bff
般,pfg
般,bfh
般,bof
華,hcg
華,hcf
華,hcj
華,kcf
被,bzj
被,bij
被,pif
被,pij
訊,xyj
討,thh
記,jij
请,qkh
读,dug
读,doj
课,kej
谁,uvg
谁,uzg
资,zif
起,qih
较,jqj
這,iej
這,yjj
這,izj
通,tnf
通,tnj
速,suj
造,zhj
造,chj
造,chf
連,ljg
連,ljh
連,ljj
連,lfj
部,buj
部,poh
都,dof
都,duf
钱,qjg
陳,vwg
陳,iwj
难,nfg
难,nfj
验,yjj
高,ghf
高,ghj
做,zuj
凰,hsg
動,dnj
區,qvf
區,ouf
區,gof
區,qof
區,koj
參,cff
參,uwf
參,sff
參,cwf
參,cfj
參,sfh
問,wyj
啦,lab
啦,laf
國,gug
基,jif
將,jmf
將,jmj
將,qmf
將,ymg
將,jmh
專,irf
專,trg
專,urj
帶,ddj
常,vgg
張,igf
張,igj
強,qmg
強,jmj
強,qmh
得,deg
得,deb
得,dzh
從,cng
從,znj
從,znf
從,cnf
從,znh
您,nlg
情,qkg
掉,dqj
掉,nug
接,jpf
接,xpg
接,uaj
接,vaf
教,jqj
教,jqf
望,wsj
梦,mrj
清,qkf
清,qkj
現,xjj
球,qog
理,lih
眼,yjh
眼,wyh
章,igf
章,igj
第,dij
組,zuh
組,qvf
著,iuj
著,ieb
著,iug
著,vug
著,ihf
著,ihg
處,vuj
處,vuh
處,jvj
視,uij
設,uej
許,xvh
許,huh
象,xmj
進,jlj
過,guj
過,guf
過,gub
過,huj
隊,dvj
隊,ivj
隊,svj
備,bzj
喔,oof
喔,wuf
喔,oob
喔,ooj
喜,xih
喜,xif
喜,vij
單,dff
單,dfh
單,vfg
單,ufj
單,vfh
單,dfj
單,ifj
單,tfg
報,bhj
報,fuj
場,vgh
場,vgg
場,ugf
場,dgj
就,joj
幾,jih
幾,jif
幾,jij
幾,qig
提,tig
提,dif
提,vig
提,uig
提,dih
換,hrj
曾,crg
曾,zrf
最,zvj
最,cuf
期,qif
期,jif
湾,wrf
無,wug
無,mog
然,rfg
畫,hcj
發,faf
發,bof
程,vrg
等,drh
結,jpg
結,jij
結,jpf
給,gzh
給,jih
給,xag
統,tnh
联,ljg
萬,wrj
装,isf
裡,lih
訴,suj
谢,xpj
買,mdh
費,fzj
費,fug
費,bij
超,vhf
超,vhh
超,vhj
超,tqj
運,yyj
道,dhj
道,dhh
量,lmj
量,lmg
開,kdf
開,qjf
間,jjf
間,jjj
間,jjh
黃,hsg
傳,vrg
傳,irj
像,xmj
嗎,mab
嗎,maj
嗎,mag
嗎,mah
夢,mrj
夢,mrg
想,xmh
意,yij
意,yif
愛,aij
感,gfh
感,hfj
数,uuj
数,uuh
新,xlf
會,hvj
會,kkj
會,kuj
業,ypj
满,mfh
當,dgf
當,dgj
當,dgb
經,jkf
經,jkj
義,yij
義,yig
義,xif
腦,nhh
腦,nhj
與,yvh
與,yvg
與,yvj
號,hhj
號,hhg
裝,isf
解,jph
解,jpj
解,xpj
試,uij
話,hcj
該,gdf
資,zif
資,zij
跟,gwf
路,luj
較,jqj
較,jtg
較,xqj
遠,yrh
遠,yrj
错,cuj
電,djj
圖,tug
實,uig
實,iij
對,dvj
歌,gef
滿,mfh
滿,mwj
種,inh
種,vng
種,inj
算,srj
管,grh
網,wsh
臺,tdg
認,rwj
語,yvh
語,yvj
說,uuf
赛,sdj
需,xvf
需,nuj
需,rug
需,rrh
鳳,frj
麼,meb
價,jaj
價,qah
價,jpb
寫,xph
寫,xpj
影,ykh
數,uuj
數,uuh
樂,lej
樂,ytj
樂,yqj
樂,luj
樂,lqg
標,bqf
標,bqj
樣,ymj
樣,xmj
確,qtj
線,xjj
誰,uvg
誰,uzg
課,kej
請,qkh
請,qkj
請,qkg
論,lyj
論,lyg
貓,mhf
貓,mhg
選,xrh
選,xrj
選,srj
選,ucf
题,tig
器,qij
學,xtg
學,hcg
學,jqj
戰,ifj
整,irh
機,jif
獨,dug
興,xkj
興,xkf
興,xlj
辦,bfj
還,hdg
還,hrg
還,xrg
錄,luj
錢,qjg
錢,jjh
錯,cuj
錯,xif
頭,tog
頭,tob
幫,bgf
應,ykf
應,ykj
檔,dgj
檔,dgf
總,znh
總,znf
總,cnf
聯,ljg
聲,urf
講,jmh
謝,xpj
賽,sdj
雖,svf
點,djh
點,iff
點,duj
轉,irh
轉,irj
轉,ikh
邊,bjf
題,tig
題,dij
識,uig
識,uij
識,iij
關,grf
關,wrf
關,wrh
難,nfg
難,nfj
難,nug
類,lzj
覺,jtg
覺,jqj
議,yij
黨,dgh
黨,tgh
黨,vrj
權,qrg
權,grj
歡,hrf
聽,tkf
聽,tkj
讀,dug
讀,doj
體,tih
體,tif
變,bjj
驗,yjj
觀,grf
觀,grj
讓,rgj
灣,wrf
