xiaozi,key
咅,p
卷,q
卷,j
卷,g
卷,c
並,v
並,b
单,v
单,d
单,u
炎,t
炎,y
沾,t
沾,i
沾,v
沾,d
泥,n
泥,m
波,w
波,b
学,x
宗,j
宗,z
官,g
官,n
宛,w
宛,y
宓,m
宓,f
肃,p
肃,s
录,l
居,j
弦,x
孟,m
孟,s
陏,d
陏,g
陏,s
参,s
参,c
参,u
叕,j
叕,i
叕,y
叕,h
叕,l
彔,l
甾,z
砉,h
砉,x
春,v
毒,y
毒,d
封,b
封,f
壴,i
甚,u
贳,u
草,z
草,c
荅,r
荅,t
荅,d
胡,h
茹,r
南,n
茲,c
茲,m
茲,z
柰,n
柰,i
查,v
查,i
相,i
相,x
勃,b
匽,y
剌,l
剌,d
畐,b
畐,c
畐,f
垔,y
要,y
咸,x
咸,j
研,x
研,y
面,m
昚,u
殄,t
皆,f
皆,j
背,b
茍,j
茍,x
削,m
削,q
削,u
削,x
狊,j
狊,u
是,u
是,t
冒,m
禺,y
星,x
昫,x
曷,h
畎,q
界,l
界,j
咢,n
咢,l
品,p
耑,d
耑,i
矩,j
臿,v
香,x
秋,l
秋,q
重,i
重,v
重,t
叟,s
叟,x
保,b
皇,w
皇,h
泉,q
鬼,g
鬼,c
禹,y
侯,h
盾,d
盾,k
盾,u
盾,y
衍,t
衍,y
须,x
俞,y
俞,u
食,u
食,s
食,y
将,j
将,q
度,d
度,i
亲,q
彦,p
彦,y
帝,d
娄,l
前,q
前,j
酋,q
首,u
兹,c
兹,z
洪,h
洴,p
浂,y
津,j
宣,x
宣,i
客,q
客,k
扁,p
扁,b
既,j
既,x
既,i
屋,w
昬,h
敃,f
敃,m
韋,u
韋,h
韋,w
眉,g
眉,m
孨,n
孨,i
陟,d
陟,i
盈,y
癸,g
敄,m
敄,w
彖,u
彖,t
敖,a
素,l
素,s
冓,g
匿,l
匿,n
匿,t
髟,u
髟,b
髟,p
馬,m
耿,g
聂,x
聂,n
莫,j
莫,m
莝,c
晋,d
晋,j
真,i
巸,y
哥,g
鬲,l
鬲,t
鬲,g
辱,r
夏,j
夏,x
原,m
原,y
鬥,d
丵,b
丵,i
圂,h
豈,q
豈,k
罢,p
罢,t
罢,b
乘,v
乘,u
臬,n
臭,v
臭,x
皋,g
皋,h
皋,p
息,x
虒,s
虒,t
虒,x
虒,i
殷,b
殷,y
般,b
般,p
奚,x
翁,w
逢,f
逢,p
留,q
留,l
高,g
病,b
蚉,w
脊,j
脊,q
离,l
离,v
唐,t
竝,u
竝,b
旅,l
畜,v
畜,x
羔,g
羔,h
益,y
兼,j
朔,u
浧,i
浧,y
浧,l
浧,v
流,l
害,h
容,r
容,y
朗,l
冥,m
冥,x
隺,h
隺,q
能,n
能,t
能,x
務,w
務,m
桑,s
邕,y
邕,f
彗,h
彗,l
彗,s
舂,v
舂,i
焉,y
赦,c
赦,u
赦,y
埶,u
埶,w
埶,y
殸,k
殸,q
殸,u
殸,y
基,j
堇,j
堇,q
黄,h
菲,f
菞,l
菞,p
萠,p
桼,n
桼,q
麥,m
救,j
斬,m
斬,i
軗,d
軗,u
旉,f
敕,v
敕,s
票,p
殹,f
殹,y
戚,c
戚,q
雩,y
雩,x
雩,j
虚,x
虘,c
虖,h
雀,q
晨,v
晨,y
野,u
野,y
野,l
啚,b
啚,t
曼,m
國,g
崔,c
崩,b
崩,g
婴,y
甜,t
動,d
敏,m
敏,s
鳥,d
鳥,n
鳥,q
鳥,i
旣,h
旣,j
徝,m
徝,i
欲,y
酓,y
象,x
象,u
猄,j
猄,y
孰,u
庶,i
庶,u
麻,m
庳,b
庳,p
庸,y
鹿,g
鹿,l
章,i
章,j
竟,j
豙,k
豙,y
啇,i
啇,u
啇,d
曽,c
曽,z
敝,b
寅,y
敢,g
敢,t
尉,w
尉,y
強,j
強,q
隋,d
隋,s
隋,t
粜,t
粜,b
習,v
習,x
翏,b
翏,l
巢,v
喜,v
喜,j
喜,x
彭,b
彭,p
壹,y
壹,r
斯,u
斯,s
黃,h
敬,j
棥,f
棥,m
棘,j
棘,n
厤,c
厤,l
厥,j
猋,x
猋,b
尞,v
尞,l
尞,s
雲,m
雲,y
黹,x
黹,i
敞,i
敞,v
晶,g
晶,j
景,y
景,d
景,j
黑,h
黍,u
筑,i
答,t
答,d
筍,s
筍,x
筍,y
筍,i
集,j
集,y
焦,j
焦,q
翕,x
番,p
番,b
番,f
就,s
就,j
敦,i
敦,t
敦,d
斌,b
童,i
童,t
旑,i
旑,y
善,u
善,x
絭,l
絭,j
粦,h
粦,l
粦,w
道,d
曾,c
曾,z
焱,y
淵,w
淵,y
惰,d
惰,t
窗,v
窗,c
惢,r
惢,s
惢,q
强,c
强,j
强,q
粥,y
粥,i
粥,h
臦,v
臦,g
臦,j
登,d
矞,j
矞,x
矞,y
幾,j
幾,q
鼓,g
勤,v
勤,q
蒦,y
蒦,w
蒦,h
蒿,g
蒿,h
蒙,h
蒙,m
蒙,t
楙,m
雷,l
频,b
频,c
频,p
豦,d
豦,j
號,h
路,l
豊,f
豊,l
喿,d
喿,q
喿,z
睘,b
睘,q
蜀,u
鼠,u
敫,q
敫,j
詹,d
詹,i
解,j
解,x
亶,i
亶,d
亶,v
廉,h
廉,l
雍,y
满,m
殿,d
辟,p
辟,b
辟,m
聚,j
蔽,b
蔽,p
需,i
需,x
需,r
需,n
需,d
睿,r
熏,m
熏,x
鼻,b
疑,n
疑,q
疑,y
齊,z
齊,i
齊,q
齊,j
翟,d
翟,i
蕩,t
蕩,d
蕊,j
蕊,r
敷,f
敷,h
憂,y
畾,l
嘼,v
嘼,u
嘼,x
皛,j
皛,p
皛,x
徹,u
徹,v
廛,v
燕,y
薛,x
薛,y
赞,w
赞,z
興,d
興,x
雔,v
衞,m
衞,w
辥,x
辥,y
雚,h
雚,g
壓,y
霜,u
霝,l
魏,w
龠,y
毚,v
襄,x
豐,f
豐,l
瞿,j
瞿,q
巂,g
巂,j
巂,x
靡,m
蠡,s
蠡,l
讎,v
